"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","logAdjP","Category","category","subcategory"
"GO:0016188","GO:0016188","synaptic vesicle maturation","6/622","27/18860",0.222222222222222,6.73812075741336,5.51007778062573,0.000205636329879931,0.00398146936576037,0.00316030570131263,"ATP6V0C/ATP6V0D1/ATP6V1B1/ATP6V1B2/ATP6V1E1/ZDHHC20",6,2.39995662147544,"BP",NA,NA
"GO:0015911","GO:0015911","long-chain fatty acid import across plasma membrane","4/622","10/18860",0.4,12.1286173633441,6.50057015945563,0.0002099478314121,0.00403064402078082,0.00319933826149196,"ACSL1/ACSL5/SLC27A5/SLC2A1",4,2.39462555625959,"BP",NA,NA
"GO:1903044","GO:1903044","protein localization to membrane raft","4/622","10/18860",0.4,12.1286173633441,6.50057015945563,0.0002099478314121,0.00403064402078082,0.00319933826149196,"CAV1/FLOT2/ATP1B1/MYADM",4,2.39462555625959,"BP",NA,NA
"GO:0022406","GO:0022406","membrane docking","11/622","92/18860",0.119565217391304,3.62540192926045,4.6617248152717,0.000219234735528936,0.00419125229687671,0.00332682166121087,"MSN/VAPA/VAPB/ARF6/ATP2A2/CAV2/RALB/STX10/STX6/STX8/VAMP3",11,2.37765619556238,"BP",NA,NA
"GO:0016054","GO:0016054","organic acid catabolic process","20/622","248/18860",0.0806451612903226,2.44528575873872,4.2310578050232,0.000224028592489021,0.00424720873260435,0.00337123728434136,"ABCD3/ABCB11/CYP4A11/DECR1/FAAH/GLUD2/HADH/HADHA/HSD17B10/MCCC2/ARG1/DPEP1/SLC27A2/ACOX3/EHHADH/BLMH/DLAT/DLST/GLUD1/HADHB",20,2.37189639472143,"BP",NA,NA
"GO:0046395","GO:0046395","carboxylic acid catabolic process","20/622","248/18860",0.0806451612903226,2.44528575873872,4.2310578050232,0.000224028592489021,0.00424720873260435,0.00337123728434136,"ABCD3/ABCB11/CYP4A11/DECR1/FAAH/GLUD2/HADH/HADHA/HSD17B10/MCCC2/ARG1/DPEP1/SLC27A2/ACOX3/EHHADH/BLMH/DLAT/DLST/GLUD1/HADHB",20,2.37189639472143,"BP",NA,NA
"GO:0030007","GO:0030007","intracellular potassium ion homeostasis","5/622","18/18860",0.277777777777778,8.4226509467667,5.81832140262606,0.000230139400955837,0.00429153391126664,0.00340642055513148,"ATP1A4/ATP1B1/ATP4A/ATP1A1/YWHAE",5,2.36738745137445,"BP",NA,NA
"GO:0044539","GO:0044539","long-chain fatty acid import into cell","5/622","18/18860",0.277777777777778,8.4226509467667,5.81832140262606,0.000230139400955837,0.00429153391126664,0.00340642055513148,"ACSL1/ACSL5/SLC27A2/SLC27A5/SLC2A1",5,2.36738745137445,"BP",NA,NA
"GO:0097401","GO:0097401","synaptic vesicle lumen acidification","5/622","18/18860",0.277777777777778,8.4226509467667,5.81832140262606,0.000230139400955837,0.00429153391126664,0.00340642055513148,"ATP6V0C/ATP6V0D1/ATP6V1B1/ATP6V1B2/ATP6V1E1",5,2.36738745137445,"BP",NA,NA
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","5/622","18/18860",0.277777777777778,8.4226509467667,5.81832140262606,0.000230139400955837,0.00429153391126664,0.00340642055513148,"DHX36/DHX9/EEF2/PABPC1/SYNCRIP",5,2.36738745137445,"BP",NA,NA
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","10/622","78/18860",0.128205128205128,3.88737736004617,4.71895512031431,0.000236560753513284,0.00437541231091644,0.00347299933805767,"CAV1/BAG2/DNAJA1/HSPA1A/HSPA1B/PPIA/RPL11/RPL5/RPS3/SQSTM1",10,2.35898101557455,"BP",NA,NA
"GO:1901880","GO:1901880","negative regulation of protein depolymerization","10/622","78/18860",0.128205128205128,3.88737736004617,4.71895512031431,0.000236560753513284,0.00437541231091644,0.00347299933805767,"GSN/RDX/SPTBN2/CAPZA2/SPTBN1/CAPZB/CFL1/LIMA1/SPTAN1/TAOK1",10,2.35898101557455,"BP",NA,NA
"GO:0071868","GO:0071868","cellular response to monoamine stimulus","9/622","64/18860",0.140625,4.26396704180064,4.83024267421378,0.000237578764766338,0.00437645092990622,0.00347382374563522,"GNA11/GNAL/GNAS/SRD5A1/CAV2/FLNA/GNB1/NCSTN/PALM",9,2.3588779366105,"BP",NA,NA
"GO:0070670","GO:0070670","response to interleukin-4","7/622","39/18860",0.179487179487179,5.44232830406464,5.12846651684466,0.000251686973550607,0.00461764407119058,0.00366527167339615,"TUBA1B/FASN/HSP90AB1/RPL3/HSPA5/IMPDH2/MCM2",7,2.33557954562308,"BP",NA,NA
"GO:0036293","GO:0036293","response to decreased oxygen levels","24/622","330/18860",0.0727272727272727,2.20520315697165,4.07892235029841,0.000266323590783158,0.00486655557455168,0.00386284607895588,"CAV1/HSP90B1/P4HB/HYOU1/ATP1B1/CYBB/TM9SF4/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/CA3/DPP4/CAT/ADAM17/CLDN3/ENO1/HSPG2/LMNA/NONO/SLC2A1/TFRC",24,2.31277831275232,"BP",NA,NA
"GO:0010038","GO:0010038","response to metal ion","25/622","351/18860",0.0712250712250712,2.15965408891454,4.05001340876842,0.000274740402515899,0.00500027532578936,0.00396898661487179,"CAV1/TCIRG1/HSP90B1/ITPR3/EIF2S1/CALR/P2RX7/ABCC6/CYBB/CPS1/CYP1A2/HMGCS2/MT-CO1/SLC25A13/DPEP1/CAT/ASPH/NCSTN/PARP1/PLSCR1/PPP1CA/PPP2CA/TFRC/TTN/TUBA1A",25,2.30100608182818,"BP",NA,NA
"GO:0055074","GO:0055074","calcium ion homeostasis","24/622","331/18860",0.0725075528700906,2.19854091178442,4.06262546373315,0.000278464376228131,0.00504786020652588,0.00400675728596652,"CAV1/TCIRG1/HSP90B1/ITPR3/CALR/P2RX7/ABCC6/ANXA6/ATP1B1/ATP6V1B1/LYN/NT5E/STOML2/VAPB/GHITM/IMMT/SLC25A27/ATP2A2/TMCO1/ASPH/CAV2/FLNA/PLCB3/YWHAE",24,2.29689268077959,"BP",NA,NA
"GO:1901874","GO:1901874","negative regulation of post-translational protein modification","11/622","95/18860",0.115789473684211,3.51091555254696,4.5309111086093,0.000291373406539396,0.00524842767358019,0.00416595843795341,"CAV1/BAG2/DCUN1D3/DNAJA1/HSPA1A/HSPA1B/PPIA/RPL11/RPL5/RPS3/SQSTM1",11,2.27997078325353,"BP",NA,NA
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","10/622","80/18860",0.125,3.79019292604502,4.61846173517899,0.000291835648662811,0.00524842767358019,0.00416595843795341,"PPP1R9B/EGFR/LYN/PGRMC1/ARF6/SPTBN1/EPHA2/ITGA3/SQSTM1/ZDHHC5",10,2.27997078325353,"BP",NA,NA
"GO:0071867","GO:0071867","response to monoamine","9/622","66/18860",0.136363636363636,4.13475591932183,4.71120502520744,0.000301187768877031,0.00539529271019879,0.00428253309165808,"GNA11/GNAL/GNAS/SRD5A1/CAV2/FLNA/GNB1/NCSTN/PALM",9,2.26798498861301,"BP",NA,NA
"GO:0019076","GO:0019076","viral release from host cell","6/622","29/18860",0.206896551724138,6.27342277414347,5.24832613516933,0.000311997253858726,0.0055452636916297,0.0044015731002849,"VAPA/VAPB/PC/CAV2/PPIA/TRIM25",6,2.256077797198,"BP",NA,NA
"GO:0035891","GO:0035891","exit from host cell","6/622","29/18860",0.206896551724138,6.27342277414347,5.24832613516933,0.000311997253858726,0.0055452636916297,0.0044015731002849,"VAPA/VAPB/PC/CAV2/PPIA/TRIM25",6,2.256077797198,"BP",NA,NA
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","13/622","128/18860",0.1015625,3.07953175241158,4.35957730612324,0.00031649293286987,0.00559223726506929,0.00443885854400295,"ABCD3/ABCB11/CYP4A11/DECR1/FAAH/HADH/HADHA/HSD17B10/SLC27A2/ACOX3/EHHADH/DLAT/HADHB",13,2.25241441080952,"BP",NA,NA
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","29/622","438/18860",0.0662100456621005,2.00759077361289,3.94020452338837,0.000317098288876456,0.00559223726506929,0.00443885854400295,"RAC1/HSPA8/GSN/VCP/P2RX7/IRGM/MSN/MYADM/NAPA/RAP1B/RDX/SPTBN2/ARF6/CAPZA2/SPTBN1/CAPZB/CFL1/DDX3X/HSP90AA1/HSPA1A/HSPA1B/HSPA5/PPP2CA/RALB/RPS3/SPTAN1/TFRC/ZDHHC12/ZDHHC5",29,2.25241441080952,"BP",NA,NA
"GO:0075522","GO:0075522","IRES-dependent viral translational initiation","4/622","11/18860",0.363636363636364,11.0260157848582,6.14251868589365,0.000321324465188159,0.00564488925330549,0.00448065124999216,"EIF3B/EIF3D/EIF3F/PTBP1",4,2.24834457404904,"BP",NA,NA
"GO:0031400","GO:0031400","negative regulation of protein modification process","18/622","217/18860",0.0829493087557604,2.51515106613126,4.14566132293157,0.000323296852513915,0.00565769491899351,0.00449081579342203,"CAV1/FKBP8/LYN/ADAR/BAG2/CORO1C/DCUN1D3/DNAJA1/GPRC5A/HSPA1A/HSPA1B/NPM1/PPIA/RPL11/RPL5/RPS3/SQSTM1/YWHAG",18,2.24736047479523,"BP",NA,NA
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion","13/622","129/18860",0.10077519379845,3.05565941324559,4.32644763314669,0.000341584578305688,0.00593452242095777,0.00471054862378395,"RAC2/MTCH2/MTX1/MTX2/SAMM50/TMEM126A/TOMM22/TOMM40/BCAP31/LMAN1/DNAJA1/HSP90AA1/HSPA1L",13,2.22661422503089,"BP",NA,NA
