"","GeneName","UniProt","Protein_name"
"481","EEF1G","B4DTG2",NA
"482","EEF2","A0A384N6H1",NA
"483","EEPD1","Q7L9B9",NA
"484","EFR3A","A0A1B0GUZ7",NA
"485","EFTUD2","A8KAP3",NA
"486","EIF2A","Q9BY44",NA
"487","EIF2S1","G3V4T5",NA
"488","EIF2S3","A0A024RBY4",NA
"489","EIF3B","A4D208",NA
"490","EIF3D","A8MWD3",NA
"491","EIF3F","A8K0S2",NA
"492","EIF3G","A8K5K5",NA
"493","EIF3H","O15372",NA
"494","EIF3I","A0A7I2YQI2",NA
"495","EIF3K","B4DVD7",NA
"496","EIF4A1","J3KT12",NA
"497","EIF4A3","I3L3H2",NA
"498","EIF5A2","B2R4V5",NA
"499","EIF6","B7ZBG9",NA
"500","ELAVL1","B4DVB8",NA
"501","ENO1","E2DRY6",NA
"502","EPHA2","B5A968",NA
"503","EXOSC2","A0A8I5KVY3",NA
"504","EXOSC4","Q9NPD3",NA
"505","EXOSC6","Q5RKV6",NA
"506","FAM120A","Q9NZB2",NA
"507","FARSB","A8K666",NA
"508","FASN","A0A0U1RQF0",NA
"509","FLG2","Q5D862",NA
"510","FLNA","E9KL45",NA
"511","FLNB","A0A804HK76",NA
"512","FLNC","A0AAQ5BHM3",NA
"513","FNDC3B","B2RB36",NA
"514","FXR1","B4DM21",NA
"515","FXR2","A0A994J7P9",NA
"516","G3BP1","Q13283",NA
"517","GLUD1","B4E0N9",NA
"518","GNA11","O15109",NA
"519","GNA13","B4DWV9",NA
"520","GNAQ","A0A024R240",NA
"521","GNAS","A0A0S2Z3H8",NA
"522","GNB1","B3KVK2",NA
"523","GNB2","B3KPU1",NA
"524","GOLGA7","A0A8Q3WLM5",NA
"525","GPRC5A","A8K556",NA
"526","GRWD1","A0MNN5",NA
"527","HADHA","B2R7L4",NA
"528","HADHB","B2RB16",NA
"529","HBB","A0A481SHK9",NA
"530","HDLBP","B2R5V9",NA
"531","HLA-B","A0A0B7MB31",NA
"532","HLA-C","A0A090KFT5",NA
"533","HNRNPA0","A0ABB0MN55",NA
"534","HNRNPA1","A0A024RB53",NA
"535","HNRNPA2B1","A0A384NL58",NA
"536","HNRNPL","M0QXS5",NA
"537","HNRNPR","A0A6Q8PEX7",NA
"538","HRNR","Q5DT20",NA
"539","HSP90AA1","P07900",NA
"540","HSP90AB1","B2R5P0",NA
"541","HSPA1A","A0A0G2JIW1",NA
"542","HSPA1L","A0A1U9X7W7",NA
"543","HSPA5","A0A7P0TB36",NA
"544","HSPA9","A0A384P5G6",NA
"545","HSPG2","P98160",NA
"546","IGF2R","P11717",NA
"547","ILF2","B4DY09",NA
"548","ILF3","A8K590",NA
"549","IMPDH2","A0A384N6C2",NA
"550","INPP5A","Q9C055",NA
"551","ITGA3","A0A140VJM0",NA
"552","ITM2B","A0A384MDP7",NA
"553","ITM2C","Q9NQX7",NA
"554","JUP","A0A0S2Z487",NA
"555","KPNB1","B7Z752",NA
"556","KTN1","B4DZ88",NA
"557","LACTB","P83111",NA
"558","LAMA5","O15230",NA
"559","LAMB2","P55268",NA
"560","LAMC1","P11047",NA
"561","LAPTM4A","D6W522",NA
"562","LARP4","Q6P4E2",NA
